source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
RPT-00001,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Posted LTM revenue allocation,0.235,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
RPT-00002,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Prior-year comparable revenue,10200000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00003,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Acquisition revenue,0.0,,USD,Finance operating schedule,2026-06-30,
RPT-00004,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Adjusted EBITDA margin,0.118,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00005,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Operating cash flow,1650000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00006,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Capital expenditure,620000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00007,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Posted LTM revenue allocation,0.245,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
RPT-00008,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Prior-year comparable revenue,10600000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00009,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Acquisition revenue,0.0,,USD,Finance operating schedule,2026-06-30,
RPT-00010,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Adjusted EBITDA margin,0.124,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00011,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Operating cash flow,1770000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00012,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Capital expenditure,655000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00013,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2026-Q1,Approved case,Posted LTM revenue allocation,0.25,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
RPT-00014,Four-quarter KPI history,Quarterly KPIs,Alder Ridge,2026-Q1,Approved case,Prior-year comparable revenue,11000000.0,,USD,Finance operating schedule,2026-06-30,
