decision_id,decision_date,signal,signal_ready_time,access_confirmed,late_hospital_placed,record_status
OOT-001,2026-06-15,green,08:30,yes,,valid
OOT-002,2026-06-15,green,08:31,yes,,valid
OOT-003,2026-06-15,green,08:32,yes,,valid
OOT-004,2026-06-15,green,08:33,yes,,valid
OOT-005,2026-06-15,green,08:34,yes,,valid
OOT-006,2026-06-15,green,08:35,yes,,valid
OOT-007,2026-06-15,green,08:36,yes,,valid
OOT-008,2026-06-15,green,08:37,yes,,valid
OOT-009,2026-06-15,green,08:38,yes,,valid
OOT-010,2026-06-15,green,08:39,yes,,valid
OOT-011,2026-06-16,green,08:40,yes,,valid
OOT-012,2026-06-16,green,08:41,yes,,valid
OOT-013,2026-06-16,green,08:42,yes,,valid
OOT-014,2026-06-16,green,08:43,yes,,valid
OOT-015,2026-06-16,green,08:44,yes,,valid
OOT-016,2026-06-16,green,08:30,yes,,valid
OOT-017,2026-06-16,green,08:31,yes,,valid
OOT-018,2026-06-16,green,08:32,yes,,valid
OOT-019,2026-06-16,green,08:33,yes,,valid
OOT-020,2026-06-16,green,08:34,yes,,valid
OOT-021,2026-06-17,green,08:35,yes,,valid
OOT-022,2026-06-17,green,08:36,yes,,valid
OOT-023,2026-06-17,green,08:37,yes,,valid
OOT-024,2026-06-17,green,08:38,yes,,valid
OOT-025,2026-06-17,green,08:39,yes,,valid
OOT-026,2026-06-17,green,08:40,yes,,valid
OOT-027,2026-06-17,green,08:41,yes,,valid
OOT-028,2026-06-17,green,08:42,yes,,valid
OOT-029,2026-06-17,green,08:43,yes,,valid
OOT-030,2026-06-17,green,08:44,yes,,valid
OOT-031,2026-06-18,green,08:30,yes,,valid
OOT-032,2026-06-18,green,08:31,yes,,valid
OOT-033,2026-06-18,green,08:32,yes,,valid
OOT-034,2026-06-18,green,08:33,yes,,valid
OOT-035,2026-06-18,green,08:34,yes,,valid
OOT-036,2026-06-18,green,08:35,yes,,valid
OOT-037,2026-06-18,green,08:36,yes,,valid
OOT-038,2026-06-18,green,08:37,yes,,valid
OOT-039,2026-06-18,green,08:38,yes,,valid
OOT-040,2026-06-18,green,08:39,yes,,valid
OOT-041,2026-06-19,green,08:40,yes,,valid
OOT-042,2026-06-19,green,08:41,yes,,valid
OOT-043,2026-06-19,green,08:42,yes,,valid
OOT-044,2026-06-19,green,08:43,yes,,valid
OOT-045,2026-06-19,green,08:44,yes,,valid
OOT-046,2026-06-19,green,08:30,yes,,valid
OOT-047,2026-06-19,green,08:31,yes,,valid
OOT-048,2026-06-19,green,08:32,yes,,valid
OOT-049,2026-06-19,green,08:33,yes,,valid
OOT-050,2026-06-19,green,08:34,yes,,valid
OOT-051,2026-06-20,green,08:35,yes,,valid
OOT-052,2026-06-20,green,08:36,yes,,valid
OOT-053,2026-06-20,green,08:37,yes,,valid
OOT-054,2026-06-20,green,08:38,yes,,valid
OOT-055,2026-06-20,green,08:39,yes,,valid
OOT-056,2026-06-20,green,08:40,yes,,valid
OOT-057,2026-06-20,green,08:41,yes,,valid
OOT-058,2026-06-20,green,08:42,yes,,valid
OOT-059,2026-06-20,green,08:43,yes,,valid
OOT-060,2026-06-20,green,08:44,yes,,valid
OOT-061,2026-06-21,green,08:30,yes,,valid
OOT-062,2026-06-21,green,08:31,yes,,valid
OOT-063,2026-06-21,green,08:32,yes,,valid
OOT-064,2026-06-21,green,08:33,yes,,valid
OOT-065,2026-06-21,green,08:34,yes,,valid
OOT-066,2026-06-21,green,08:35,yes,,valid
OOT-067,2026-06-21,green,08:36,yes,,valid
OOT-068,2026-06-21,green,08:37,yes,,valid
OOT-069,2026-06-21,green,08:38,yes,,valid
OOT-070,2026-06-21,green,08:39,yes,,valid
OOT-071,2026-06-22,green,08:40,yes,,valid
OOT-072,2026-06-22,green,08:41,yes,,valid
OOT-073,2026-06-22,green,08:42,yes,,valid
OOT-074,2026-06-22,green,08:43,yes,,valid
OOT-075,2026-06-22,green,08:44,yes,,valid
OOT-076,2026-06-22,green,08:30,yes,,valid
OOT-077,2026-06-22,green,08:31,yes,,valid
OOT-078,2026-06-22,green,08:32,yes,,valid
OOT-079,2026-06-22,green,08:33,yes,,valid
OOT-080,2026-06-22,green,08:34,yes,,valid
OOT-081,2026-06-23,green,08:35,yes,,valid
OOT-082,2026-06-23,green,08:36,yes,,valid
OOT-083,2026-06-23,green,08:37,yes,,valid
OOT-084,2026-06-23,green,08:38,yes,,valid
OOT-085,2026-06-23,green,08:39,yes,,valid
OOT-086,2026-06-23,green,08:31,no,yes,valid
OOT-087,2026-06-23,green,08:32,no,yes,valid
OOT-088,2026-06-23,green,08:33,no,yes,valid
OOT-089,2026-06-23,green,08:34,no,yes,valid
OOT-090,2026-06-23,green,08:35,no,no,valid
OOT-091,2026-06-24,green,08:36,no,no,valid
OOT-092,2026-06-24,green,08:37,no,no,valid
OOT-093,2026-06-24,green,08:38,no,no,valid
OOT-094,2026-06-24,green,08:39,no,no,valid
OOT-095,2026-06-24,green,08:40,no,no,valid
OOT-096,2026-06-24,green,08:41,no,no,valid
OOT-097,2026-06-24,green,08:42,no,no,valid
OOT-098,2026-06-24,green,08:43,no,no,valid
OOT-099,2026-06-24,green,08:44,no,no,valid
OOT-100,2026-06-24,green,08:31,no,no,valid
OOT-101,2026-06-25,red,08:33,yes,,valid
OOT-102,2026-06-25,red,08:34,yes,,valid
OOT-103,2026-06-25,red,08:35,yes,,valid
OOT-104,2026-06-25,red,08:36,yes,,valid
OOT-105,2026-06-25,red,08:37,yes,,valid
OOT-106,2026-06-25,red,08:38,yes,,valid
OOT-107,2026-06-25,red,08:39,yes,,valid
OOT-108,2026-06-25,red,08:40,yes,,valid
OOT-109,2026-06-25,red,08:41,yes,,valid
OOT-110,2026-06-25,red,08:42,yes,,valid
OOT-111,2026-06-26,red,08:30,no,yes,valid
OOT-112,2026-06-26,red,08:31,no,yes,valid
OOT-113,2026-06-26,red,08:32,no,yes,valid
OOT-114,2026-06-26,red,08:33,no,yes,valid
OOT-115,2026-06-26,red,08:34,no,yes,valid
OOT-116,2026-06-26,red,08:35,no,yes,valid
OOT-117,2026-06-26,red,08:36,no,yes,valid
OOT-118,2026-06-26,red,08:37,no,yes,valid
OOT-119,2026-06-26,red,08:38,no,yes,valid
OOT-120,2026-06-26,red,08:39,no,yes,valid
OOT-121,2026-06-27,red,08:40,no,yes,valid
OOT-122,2026-06-27,red,08:41,no,yes,valid
OOT-123,2026-06-27,red,08:42,no,yes,valid
OOT-124,2026-06-27,red,08:43,no,yes,valid
OOT-125,2026-06-27,red,08:44,no,yes,valid
OOT-126,2026-06-27,red,08:30,no,yes,valid
OOT-127,2026-06-27,red,08:31,no,yes,valid
OOT-128,2026-06-27,red,08:32,no,yes,valid
OOT-129,2026-06-27,red,08:33,no,yes,valid
OOT-130,2026-06-27,red,08:34,no,yes,valid
OOT-131,2026-06-28,red,08:35,no,yes,valid
OOT-132,2026-06-28,red,08:36,no,yes,valid
OOT-133,2026-06-28,red,08:37,no,yes,valid
OOT-134,2026-06-28,red,08:38,no,yes,valid
OOT-135,2026-06-28,red,08:39,no,yes,valid
OOT-136,2026-06-28,red,08:40,no,no,valid
OOT-137,2026-06-28,red,08:41,no,no,valid
OOT-138,2026-06-28,red,08:42,no,no,valid
OOT-139,2026-06-28,red,08:43,no,no,valid
OOT-140,2026-06-28,red,08:44,no,no,valid
OOT-141,2026-06-29,red,08:30,no,no,valid
OOT-142,2026-06-29,red,08:31,no,no,valid
OOT-143,2026-06-29,red,08:32,no,no,valid
OOT-144,2026-06-29,red,08:33,no,no,valid
OOT-145,2026-06-29,red,08:34,no,no,valid
OOT-146,2026-06-29,red,08:35,no,no,valid
OOT-147,2026-06-29,red,08:36,no,no,valid
OOT-148,2026-06-29,red,08:37,no,no,valid
OOT-149,2026-06-29,red,08:38,no,no,valid
OOT-150,2026-06-29,red,08:39,no,no,valid
OOT-151,2026-06-30,red,08:40,no,no,valid
OOT-152,2026-06-30,red,08:41,no,no,valid
OOT-153,2026-06-30,red,08:42,no,no,valid
OOT-154,2026-06-30,red,08:43,no,no,valid
OOT-155,2026-06-30,red,08:44,no,no,valid
OOT-156,2026-06-30,red,08:30,no,no,valid
OOT-157,2026-06-30,red,08:31,no,no,valid
OOT-158,2026-06-30,red,08:32,no,no,valid
OOT-159,2026-06-30,red,08:33,no,no,valid
OOT-160,2026-06-30,red,08:34,no,no,valid
OOT-161,2026-07-01,red,08:35,no,no,valid
OOT-162,2026-07-01,red,08:36,no,no,valid
OOT-163,2026-07-01,red,08:37,no,no,valid
OOT-164,2026-07-01,red,08:38,no,no,valid
OOT-165,2026-07-01,red,08:39,no,no,valid
OOT-166,2026-07-01,red,08:40,no,no,valid
OOT-167,2026-07-01,red,08:41,no,no,valid
OOT-168,2026-07-01,red,08:42,no,no,valid
OOT-169,2026-07-01,red,08:43,no,no,valid
OOT-170,2026-07-01,red,08:44,no,no,valid
OOT-171,2026-07-02,red,08:30,no,no,valid
OOT-172,2026-07-02,red,08:31,no,no,valid
OOT-173,2026-07-02,red,08:32,no,no,valid
OOT-174,2026-07-02,red,08:33,no,no,valid
OOT-175,2026-07-02,red,08:34,no,no,valid
OOT-176,2026-07-02,red,08:35,no,no,valid
OOT-177,2026-07-02,red,08:36,no,no,valid
OOT-178,2026-07-02,red,08:37,no,no,valid
OOT-179,2026-07-02,red,08:38,no,no,valid
OOT-180,2026-07-02,red,08:39,no,no,valid
OOT-181,2026-07-03,green,08:46,yes,,valid
OOT-182,2026-07-03,green,08:47,yes,,valid
OOT-183,2026-07-03,green,08:48,yes,,valid
OOT-184,2026-07-03,green,08:49,yes,,valid
OOT-185,2026-07-03,green,08:50,yes,,valid
OOT-186,2026-07-03,green,08:51,yes,,valid
OOT-187,2026-07-03,green,08:52,yes,,valid
OOT-188,2026-07-03,green,08:53,yes,,valid
OOT-189,2026-07-03,green,08:54,yes,,valid
OOT-190,2026-07-03,green,08:55,yes,,valid
OOT-191,2026-07-04,green,08:46,yes,,valid
OOT-192,2026-07-04,green,08:47,yes,,valid
OOT-193,2026-07-04,green,08:48,yes,,valid
OOT-194,2026-07-04,green,08:49,yes,,valid
OOT-195,2026-07-04,green,08:50,no,no,valid
OOT-196,2026-07-04,green,08:51,no,no,valid
OOT-197,2026-07-04,green,08:52,no,no,valid
OOT-198,2026-07-04,green,08:53,no,no,valid
OOT-199,2026-07-04,green,08:54,no,no,valid
OOT-200,2026-07-04,green,08:55,no,no,valid
OOT-201,2026-07-05,red,08:46,yes,,valid
OOT-202,2026-07-05,red,08:47,yes,,valid
OOT-203,2026-07-05,red,08:48,no,yes,valid
OOT-204,2026-07-05,red,08:49,no,yes,valid
OOT-205,2026-07-05,red,08:50,no,yes,valid
OOT-206,2026-07-05,red,08:51,no,no,valid
OOT-207,2026-07-05,red,08:52,no,no,valid
OOT-208,2026-07-05,red,08:53,no,no,valid
OOT-209,2026-07-05,red,08:54,no,no,valid
OOT-210,2026-07-05,red,08:55,no,no,valid
OOT-211,2026-07-06,red,08:46,no,no,valid
OOT-212,2026-07-06,red,08:47,no,no,valid
OOT-213,2026-07-06,red,08:48,no,no,valid
OOT-214,2026-07-06,red,08:49,no,no,valid
OOT-215,2026-07-06,red,08:50,no,no,valid
OOT-216,2026-07-06,red,08:51,no,no,valid
OOT-217,2026-07-06,red,08:52,no,no,valid
OOT-218,2026-07-06,red,08:53,no,no,valid
OOT-219,2026-07-06,red,08:54,no,no,valid
OOT-220,2026-07-06,red,08:55,no,no,valid
OOT-221,2026-07-07,,,yes,,valid
OOT-222,2026-07-07,,,yes,,valid
OOT-223,2026-07-07,,,yes,,valid
OOT-224,2026-07-07,,,yes,,valid
OOT-225,2026-07-07,,,yes,,valid
OOT-226,2026-07-07,,,yes,,valid
OOT-227,2026-07-07,,,yes,,valid
OOT-228,2026-07-07,,,yes,,valid
OOT-229,2026-07-07,,,no,no,valid
OOT-230,2026-07-07,,,no,no,valid
OOT-231,2026-07-08,,,no,no,valid
OOT-232,2026-07-08,,,no,no,valid
OOT-233,2026-07-08,,,no,no,valid
OOT-234,2026-07-08,,,no,no,valid
OOT-235,2026-07-08,,,no,no,valid
OOT-236,2026-07-08,,,no,no,valid
OOT-237,2026-07-08,,,no,no,valid
OOT-238,2026-07-08,,,no,no,valid
OOT-239,2026-07-08,,,no,no,valid
OOT-240,2026-07-08,,,no,no,valid
