review_ref,review_date,operating_area,review_event,review_status,accountable_owner,financial_effect,review_measure,probability_or_decision,cash_conversion,earliest_supported_period,evidence_condition,review_record,review_cutoff
FIN-REV-001,2026-06-26,Construction gross profit,C-0626,Initial owner estimate,COO,EBITDA and cash,Realization probability,0.7,0.65,2026-Q3,Vendor terms under negotiation,Owner action submission,2026-07-05
FIN-REV-002,2026-06-29,Construction gross profit,C-0629,CFO scratch estimate,COO,EBITDA and cash,Realization probability,0.75,0.7,2026-Q3,Unsigned quote basis,CFO working notes,2026-07-05
FIN-REV-003,2026-07-01,Construction gross profit,C-0701,Owner proposal - not approved,COO,EBITDA and cash,Realization probability,0.72,0.7,2026-Q3,Two amendments circulated,Owner action submission,2026-07-05
FIN-REV-004,2026-07-03,Construction gross profit,C-0703,Finance challenge draft,COO,EBITDA and cash,Realization probability,0.6,0.65,2026-Q3,Scope validation pending,Finance challenge worksheet,2026-07-05
FIN-REV-005,2026-07-05,Construction gross profit,C-0705,Final finance view,COO,EBITDA and cash,Realization probability,0.65,0.7,2026-Q3,PM margin-close evidence pending,Finance operating-recovery review,2026-07-05
FIN-REV-006,2026-07-05,Construction gross profit,C-SENS,Sensitivity only - not approved,COO,EBITDA and cash,Realization probability,0.85,0.75,2026-Q3,Upside case only,CFO sensitivity workpaper,2026-07-05
FIN-REV-007,2026-06-26,Service labor productivity,S-0626,Initial owner estimate,VP Service,EBITDA and cash,Realization probability,0.6,0.75,2026-Q3,Initial staffing estimate pending,Owner action submission,2026-07-05
FIN-REV-008,2026-06-29,Service labor productivity,S-0629,CFO scratch estimate,VP Service,EBITDA and cash,Realization probability,0.65,0.8,2026-Q3,Early route assumption,CFO working notes,2026-07-05
FIN-REV-009,2026-07-01,Service labor productivity,S-0701,Owner proposal - not approved,VP Service,EBITDA and cash,Realization probability,0.62,0.8,2026-Q3,Route-plan approval received,Owner action submission,2026-07-05
FIN-REV-010,2026-07-03,Service labor productivity,S-0703,Finance challenge draft,VP Service,EBITDA and cash,Realization probability,0.5,0.75,2026-Q3,Productivity validation open,Finance challenge worksheet,2026-07-05
FIN-REV-011,2026-07-05,Service labor productivity,S-0705,Final finance view,VP Service,EBITDA and cash,Realization probability,0.55,0.8,2026-Q3,Technician productivity evidence pending,Finance operating-recovery review,2026-07-05
FIN-REV-012,2026-07-05,Service labor productivity,S-SENS,Sensitivity only - not approved,VP Service,EBITDA and cash,Realization probability,0.75,0.85,2026-Q3,Upside case only,CFO sensitivity workpaper,2026-07-05
FIN-REV-013,2026-06-26,Controls mix,M-0626,Initial owner estimate,VP Controls,EBITDA and cash,Realization probability,0.55,0.7,2026-Q4,Initial backlog estimate pending,Owner action submission,2026-07-05
FIN-REV-014,2026-06-29,Controls mix,M-0629,CFO scratch estimate,VP Controls,EBITDA and cash,Realization probability,0.6,0.75,2026-Q4,Draft commissioning sequence,CFO working notes,2026-07-05
FIN-REV-015,2026-07-01,Controls mix,M-0701,Owner proposal - not approved,VP Controls,EBITDA and cash,Realization probability,0.58,0.75,2026-Q4,Customer sequencing still open,Owner action submission,2026-07-05
FIN-REV-016,2026-07-03,Controls mix,M-0703,Finance challenge draft,VP Controls,EBITDA and cash,Realization probability,0.45,0.7,2026-Q4,Margin conversion under review,Finance challenge worksheet,2026-07-05
FIN-REV-017,2026-07-05,Controls mix,M-0705,Final finance view,VP Controls,EBITDA and cash,Realization probability,0.5,0.75,2026-Q4,Backlog mix conversion evidence pending,Finance operating-recovery review,2026-07-05
