source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
MKT-00001,Corporate weighted-average cost of capital,Peer beta set,Comfort Systems,2026-07-01,Approved case,Levered beta,1.18,,beta,Finance operating schedule,2026-06-30,
MKT-00002,Corporate weighted-average cost of capital,Peer beta set,Comfort Systems,2026-07-01,Approved case,Debt to equity,0.22,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00003,Corporate weighted-average cost of capital,Peer beta set,Comfort Systems,2026-07-01,Approved case,Marginal tax rate,0.255,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00004,Corporate weighted-average cost of capital,Peer beta set,Comfort Systems,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00005,Corporate weighted-average cost of capital,Peer beta set,EMCOR,2026-07-01,Approved case,Levered beta,1.05,,beta,Finance operating schedule,2026-06-30,
MKT-00006,Corporate weighted-average cost of capital,Peer beta set,EMCOR,2026-07-01,Approved case,Debt to equity,0.18,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00007,Corporate weighted-average cost of capital,Peer beta set,EMCOR,2026-07-01,Approved case,Marginal tax rate,0.245,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00008,Corporate weighted-average cost of capital,Peer beta set,EMCOR,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00009,Corporate weighted-average cost of capital,Peer beta set,IES Holdings,2026-07-01,Approved case,Levered beta,1.32,,beta,Finance operating schedule,2026-06-30,
MKT-00010,Corporate weighted-average cost of capital,Peer beta set,IES Holdings,2026-07-01,Approved case,Debt to equity,0.27,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00011,Corporate weighted-average cost of capital,Peer beta set,IES Holdings,2026-07-01,Approved case,Marginal tax rate,0.25,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00012,Corporate weighted-average cost of capital,Peer beta set,IES Holdings,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00013,Corporate weighted-average cost of capital,Peer beta set,Limbach,2026-07-01,Approved case,Levered beta,1.12,,beta,Finance operating schedule,2026-06-30,
MKT-00014,Corporate weighted-average cost of capital,Peer beta set,Limbach,2026-07-01,Approved case,Debt to equity,0.12,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00015,Corporate weighted-average cost of capital,Peer beta set,Limbach,2026-07-01,Approved case,Marginal tax rate,0.26,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00016,Corporate weighted-average cost of capital,Peer beta set,Limbach,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00017,Corporate weighted-average cost of capital,Peer beta set,APi Group,2026-07-01,Approved case,Levered beta,1.25,,beta,Finance operating schedule,2026-06-30,
MKT-00018,Corporate weighted-average cost of capital,Peer beta set,APi Group,2026-07-01,Approved case,Debt to equity,0.34,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00019,Corporate weighted-average cost of capital,Peer beta set,APi Group,2026-07-01,Approved case,Marginal tax rate,0.24,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00020,Corporate weighted-average cost of capital,Peer beta set,APi Group,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00021,Corporate weighted-average cost of capital,Peer beta set,Installed Building,2026-07-01,Approved case,Levered beta,1.08,,beta,Finance operating schedule,2026-06-30,
MKT-00022,Corporate weighted-average cost of capital,Peer beta set,Installed Building,2026-07-01,Approved case,Debt to equity,0.29,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00023,Corporate weighted-average cost of capital,Peer beta set,Installed Building,2026-07-01,Approved case,Marginal tax rate,0.255,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00024,Corporate weighted-average cost of capital,Peer beta set,Installed Building,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00025,Corporate weighted-average cost of capital,Peer beta set,Outlier Services,2026-07-01,Approved case,Levered beta,2.4,,beta,Finance operating schedule,2026-06-30,
MKT-00026,Corporate weighted-average cost of capital,Peer beta set,Outlier Services,2026-07-01,Approved case,Debt to equity,0.75,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00027,Corporate weighted-average cost of capital,Peer beta set,Outlier Services,2026-07-01,Approved case,Marginal tax rate,0.25,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00028,Corporate weighted-average cost of capital,Peer beta set,Outlier Services,2026-07-01,Approved case,Include in median,0.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00047,Public-company trading-comparables valuation,Trading comparables,Peer A,2026-07-01,Approved case,EV / LTM adjusted EBITDA,8.6,,multiple,Finance operating schedule,2026-06-30,
MKT-00048,Public-company trading-comparables valuation,Trading comparables,Peer A,2026-07-01,Approved case,EV / LTM revenue,1.15,,multiple,Finance operating schedule,2026-06-30,
MKT-00049,Public-company trading-comparables valuation,Trading comparables,Peer A,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00050,Public-company trading-comparables valuation,Trading comparables,Peer B,2026-07-01,Approved case,EV / LTM adjusted EBITDA,9.2,,multiple,Finance operating schedule,2026-06-30,
MKT-00051,Public-company trading-comparables valuation,Trading comparables,Peer B,2026-07-01,Approved case,EV / LTM revenue,1.32,,multiple,Finance operating schedule,2026-06-30,
