source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
PLN-00373,Complete the FY27 field workforce plan,Employee roster summary,Journey,2026-06-30,Approved case,Active FTE,0.6428571428571429,,ledger allocation factor,HR roster reconciled to employee master,2026-06-30,Vista ERP employee master at 2026-06-30; active employees
PLN-00374,Complete the FY27 field workforce plan,Employee roster summary,Journey,FY27,Approved case,Monthly paid hours per FTE,160.0,,hours,Finance operating schedule,2026-06-30,
PLN-00375,Complete the FY27 field workforce plan,Employee roster summary,Journey,FY27,Approved case,Productive utilization,0.86,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00376,Complete the FY27 field workforce plan,Employee roster summary,Journey,FY27,Approved case,Average hourly wage,54.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00377,Complete the FY27 field workforce plan,Employee roster summary,Journey,FY27,Approved case,Benefits and burden,0.31,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00390,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,2026-06-30,Approved case,Active FTE,0.25,,ledger allocation factor,HR roster reconciled to employee master,2026-06-30,Vista ERP employee master at 2026-06-30; active employees
PLN-00391,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,FY27,Approved case,Monthly paid hours per FTE,160.0,,hours,Finance operating schedule,2026-06-30,
PLN-00392,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,FY27,Approved case,Productive utilization,0.74,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00393,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,FY27,Approved case,Average hourly wage,31.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00394,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,FY27,Approved case,Benefits and burden,0.34,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00407,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,2026-06-30,Approved case,Active FTE,0.10714285714285714,,ledger allocation factor,HR roster reconciled to employee master,2026-06-30,Vista ERP employee master at 2026-06-30; active employees
PLN-00408,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,FY27,Approved case,Monthly paid hours per FTE,160.0,,hours,Finance operating schedule,2026-06-30,
PLN-00409,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,FY27,Approved case,Productive utilization,0.82,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00410,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,FY27,Approved case,Average hourly wage,47.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00411,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,FY27,Approved case,Benefits and burden,0.3,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00441,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2025-07,Approved case,Posted revenue allocation,0.04125,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00442,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2025-07,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00444,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2025-07,Approved case,Posted revenue allocation,0.021,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00445,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2025-07,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00447,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2025-07,Approved case,Posted revenue allocation,0.012750000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00448,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2025-07,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00450,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2025-08,Approved case,Posted revenue allocation,0.0429,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00451,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2025-08,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00453,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2025-08,Approved case,Posted revenue allocation,0.021840000000000002,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00454,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2025-08,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00456,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2025-08,Approved case,Posted revenue allocation,0.013260000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00457,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2025-08,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00459,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2025-09,Approved case,Posted revenue allocation,0.044550000000000006,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00460,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2025-09,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00462,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2025-09,Approved case,Posted revenue allocation,0.022680000000000002,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00463,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2025-09,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
