source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
DEV-00001,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-07,Approved case,Revenue,2250000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00002,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-07,Approved case,Gross profit,798750.0,,USD,Finance operating schedule,2026-06-30,
DEV-00003,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-07,Approved case,Operating expense before D&A,690000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00004,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-08,Approved case,Revenue,2292.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00005,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-08,Approved case,Gross profit,804492.0,,USD,Finance operating schedule,2026-06-30,
DEV-00006,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-08,Approved case,Operating expense before D&A,698000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00007,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-09,Approved case,Revenue,2334000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00008,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-09,Approved case,Gross profit,809.898,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00009,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-09,Approved case,Operating expense before D&A,706000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00010,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-10,Approved case,Revenue,2376000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00011,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-10,Approved case,Gross profit,843480.0,,USD,Finance operating schedule,2026-06-30,
DEV-00012,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-10,Approved case,Operating expense before D&A,714.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00013,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-11,Approved case,Revenue,2418000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00014,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-11,Approved case,Gross profit,848718.0,,USD,Finance operating schedule,2026-06-30,
DEV-00015,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-11,Approved case,Operating expense before D&A,722000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00016,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-12,Approved case,Revenue,2460.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00017,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-12,Approved case,Gross profit,853619.9999999999,,USD,Finance operating schedule,2026-06-30,
DEV-00018,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2025-12,Approved case,Operating expense before D&A,730000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00019,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-01,Approved case,Revenue,2502000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00020,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-01,Approved case,Gross profit,888.21,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00021,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-01,Approved case,Operating expense before D&A,738000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00022,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-02,Approved case,Revenue,2544000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00023,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-02,Approved case,Gross profit,892944.0,,USD,Finance operating schedule,2026-06-30,
DEV-00024,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-02,Approved case,Operating expense before D&A,746.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00025,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-03,Approved case,Revenue,2766000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00026,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-03,Approved case,Gross profit,959801.9999999999,,USD,Finance operating schedule,2026-06-30,
DEV-00027,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-03,Approved case,Operating expense before D&A,754000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00028,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-04,Approved case,Revenue,2808.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00029,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-04,Approved case,Gross profit,996840.0,,USD,Finance operating schedule,2026-06-30,
