source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
TAX-00001,Complete the annual income-tax provision model,Trial Balance,Revenue,FY26,Approved case,Pretax book amount,48833828.69,,USD,Finance operating schedule,2026-06-30,
TAX-00002,Complete the annual income-tax provision model,Trial Balance,Cost of revenue,FY26,Approved case,Pretax book amount,-31900000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00003,Complete the annual income-tax provision model,Trial Balance,Operating expense,FY26,Approved case,Pretax book amount,-8887893.24,,USD,Finance operating schedule,2026-06-30,
TAX-00004,Complete the annual income-tax provision model,Trial Balance,Interest expense,FY26,Approved case,Pretax book amount,-310.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00005,Complete the annual income-tax provision model,Trial Balance,Other income,FY26,Approved case,Pretax book amount,145000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00073,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2026-Q3,Approved case,Federal taxable income,2850000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00074,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2026-Q3,Approved case,State taxable income,2593500.0,,USD,Finance operating schedule,2026-06-30,
TAX-00075,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2026-Q3,Approved case,Federal credits,25000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00076,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2026-Q3,Approved case,State credits,18.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00077,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2026-Q4,Approved case,Federal taxable income,3400000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00078,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2026-Q4,Approved case,State taxable income,3094000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00079,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2026-Q4,Approved case,Federal credits,65000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00080,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2026-Q4,Approved case,State credits,18.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00081,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2027-Q1,Approved case,Federal taxable income,3050000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00082,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2027-Q1,Approved case,State taxable income,2775500.0,,USD,Finance operating schedule,2026-06-30,
TAX-00083,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2027-Q1,Approved case,Federal credits,25000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00084,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2027-Q1,Approved case,State credits,18.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00085,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2027-Q2,Approved case,Federal taxable income,3650000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00086,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2027-Q2,Approved case,State taxable income,3321500.0,,USD,Finance operating schedule,2026-06-30,
TAX-00087,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2027-Q2,Approved case,Federal credits,65000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00088,Quarterly cash-tax and estimated-payment forecast,Quarterly taxable-income forecast,Alder Ridge,2027-Q2,Approved case,State credits,18.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00105,Multistate income-tax apportionment,State apportionment,Oregon,FY26,Approved case,Sales factor numerator,12400000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00106,Multistate income-tax apportionment,State apportionment,Oregon,FY26,Approved case,Property factor numerator,3800000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00107,Multistate income-tax apportionment,State apportionment,Oregon,FY26,Approved case,Payroll factor numerator,4100000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00108,Multistate income-tax apportionment,State apportionment,Oregon,FY26,Approved case,Statutory tax rate,0.075,,decimal ratio,Finance operating schedule,2026-06-30,
TAX-00109,Multistate income-tax apportionment,State apportionment,Oregon,FY26,Approved case,Available state NOL,0.0,,USD,Finance operating schedule,2026-06-30,
TAX-00110,Multistate income-tax apportionment,State apportionment,Washington,FY26,Approved case,Sales factor numerator,18600000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00111,Multistate income-tax apportionment,State apportionment,Washington,FY26,Approved case,Property factor numerator,4900000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00112,Multistate income-tax apportionment,State apportionment,Washington,FY26,Approved case,Payroll factor numerator,5200.0,,USD thousands,Finance operating schedule,2026-06-30,
