line_ref,accounting_period,posting_state,source_batch,journal_reference,department_code,account,debit,credit,source_module,activity_date
VBH-001,2026-06,POSTED 7/03 15:40,BC-104,JN-8821,20,4100 Contract revenue - debit / (credit),260000.0,,Vista billing cut-off,2026-07-03
VBH-002,2026-06,POSTED 7/03 15:40,BC-104,JN-8821,20,5100 Direct job cost - debit / (credit),,145600.0,Vista billing cut-off,2026-07-03
VBH-003,2026-06,POSTED REVERSAL 7/03 15:41,BC-104,JN-8822,20,4100 Contract revenue - debit / (credit),,260000.0,Vista billing cut-off,2026-07-03
VBH-004,2026-06,POSTED REVERSAL 7/03 15:41,BC-104,JN-8822,20,5100 Direct job cost - debit / (credit),145600.0,,Vista billing cut-off,2026-07-03
VBH-005,2026-06,POSTED 7/03 15:42,BC-104,JN-8823,20,4100 Contract revenue - debit / (credit),242740.0,,Vista billing cut-off,2026-07-03
VBH-006,2026-06,POSTED 7/03 15:42,BC-104,JN-8823,20,5100 Direct job cost - debit / (credit),,135934.4,Vista billing cut-off,2026-07-03
VBH-007,2026-06,POSTED 7/03 16:05,BC-117,JN-8830,20,4100 Contract revenue - debit / (credit),210000.0,,Vista billing cut-off,2026-07-03
VBH-008,2026-06,POSTED 7/03 16:05,BC-117,JN-8830,20,5100 Direct job cost - debit / (credit),,117600.0,Vista billing cut-off,2026-07-03
VBH-009,2026-06,POSTED 7/03 17:10,BC-119,JN-8848,20,4100 Contract revenue - debit / (credit),,70000.0,Vista billing cut-off,2026-07-03
VBH-010,2026-06,POSTED 7/03 17:10,BC-119,JN-8848,20,5100 Direct job cost - debit / (credit),39200.0,,Vista billing cut-off,2026-07-03
VBH-011,2026-06,POSTED 7/03 14:51,SV-042,JN-8794,30,4100 Contract revenue - debit / (credit),118000.0,,Vista billing cut-off,2026-07-03
VBH-012,2026-06,POSTED 7/03 14:51,SV-042,JN-8794,30,5100 Direct job cost - debit / (credit),,58528.0,Vista billing cut-off,2026-07-03
VBH-013,2026-06,POSTED REVERSAL 7/03 14:52,SV-042,JN-8795,30,4100 Contract revenue - debit / (credit),,118000.0,Vista billing cut-off,2026-07-03
VBH-014,2026-06,POSTED REVERSAL 7/03 14:52,SV-042,JN-8795,30,5100 Direct job cost - debit / (credit),58528.0,,Vista billing cut-off,2026-07-03
VBH-015,2026-06,POSTED 7/03 14:53,SV-042,JN-8796,30,4100 Contract revenue - debit / (credit),96360.0,,Vista billing cut-off,2026-07-03
VBH-016,2026-06,POSTED 7/03 14:53,SV-042,JN-8796,30,5100 Direct job cost - debit / (credit),,47848.0,Vista billing cut-off,2026-07-03
VBH-017,2026-06,POSTED 7/03 16:18,SV-044,JN-8833,30,4100 Contract revenue - debit / (credit),65000.0,,Vista billing cut-off,2026-07-03
VBH-018,2026-06,POSTED 7/03 16:18,SV-044,JN-8833,30,5100 Direct job cost - debit / (credit),,32500.0,Vista billing cut-off,2026-07-03
VBH-019,2026-06,POSTED 7/03 16:37,SV-047,JN-8838,30,4100 Contract revenue - debit / (credit),,20000.0,Vista billing cut-off,2026-07-03
VBH-020,2026-06,POSTED 7/03 16:37,SV-047,JN-8838,30,5100 Direct job cost - debit / (credit),10500.0,,Vista billing cut-off,2026-07-03
VBH-021,2026-07,POSTED 7/03 17:25,SV-051,JN-8850,30,4100 Contract revenue - debit / (credit),,50000.0,Vista billing cut-off,2026-07-03
VBH-022,2026-07,POSTED 7/03 17:25,SV-051,JN-8850,30,5100 Direct job cost - debit / (credit),26250.0,,Vista billing cut-off,2026-07-03
VBH-023,2026-06,POSTED 7/03 13:25,CT-019,JN-8768,40,4100 Contract revenue - debit / (credit),98000.0,,Vista billing cut-off,2026-07-03
VBH-024,2026-06,POSTED 7/03 13:25,CT-019,JN-8768,40,5100 Direct job cost - debit / (credit),,59200.0,Vista billing cut-off,2026-07-03
VBH-025,2026-06,POSTED REVERSAL 7/03 13:26,CT-019,JN-8769,40,4100 Contract revenue - debit / (credit),,98000.0,Vista billing cut-off,2026-07-03
VBH-026,2026-06,POSTED REVERSAL 7/03 13:26,CT-019,JN-8769,40,5100 Direct job cost - debit / (credit),59200.0,,Vista billing cut-off,2026-07-03
