source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
RPT-00001,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Posted LTM revenue allocation,0.235,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
RPT-00002,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Prior-year comparable revenue,10200000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00003,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Acquisition revenue,0.0,,USD,Finance operating schedule,2026-06-30,
RPT-00004,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Adjusted EBITDA margin,0.118,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00005,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Operating cash flow,1650000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00006,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q3,Approved case,Capital expenditure,620000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00007,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Posted LTM revenue allocation,0.245,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
RPT-00008,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Prior-year comparable revenue,10600.0,,USD thousands,Finance operating schedule,2026-06-30,
RPT-00009,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Acquisition revenue,0.0,,USD,Finance operating schedule,2026-06-30,
RPT-00010,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Adjusted EBITDA margin,0.124,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00011,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Operating cash flow,1770000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00012,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2025-Q4,Approved case,Capital expenditure,655.0,,USD thousands,Finance operating schedule,2026-06-30,
RPT-00013,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q1,Approved case,Posted LTM revenue allocation,0.25,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
RPT-00014,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q1,Approved case,Prior-year comparable revenue,11000000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00015,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q1,Approved case,Acquisition revenue,420000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00016,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q1,Approved case,Adjusted EBITDA margin,0.13,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00017,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q1,Approved case,Operating cash flow,1890000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00018,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q1,Approved case,Capital expenditure,690000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00019,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q2,Approved case,Posted LTM revenue allocation,0.27,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
RPT-00020,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q2,Approved case,Prior-year comparable revenue,11450.0,,USD thousands,Finance operating schedule,2026-06-30,
RPT-00021,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q2,Approved case,Acquisition revenue,420000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00022,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q2,Approved case,Adjusted EBITDA margin,0.136,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00023,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q2,Approved case,Operating cash flow,2010000.0,,USD,Finance operating schedule,2026-06-30,
RPT-00024,Create the Q2 investor and lender KPI fact sheet,Quarterly KPIs,Alder Ridge,2026-Q2,Approved case,Capital expenditure,725.0,,USD thousands,Finance operating schedule,2026-06-30,
RPT-00041,Complete the Q2 board performance dashboard,Q2 actual export,Construction,2026-04,Approved case,Posted YTD revenue allocation,0.09200800000000002,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2026-01-01 through 2026-06-30; Revenue total"
RPT-00042,Complete the Q2 board performance dashboard,Q2 actual export,Construction,2026-04,Approved case,Adjusted EBITDA margin,0.095,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00045,Complete the Q2 board performance dashboard,Q2 actual export,Construction,2026-05,Approved case,Posted YTD revenue allocation,0.09794400000000003,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2026-01-01 through 2026-06-30; Revenue total"
RPT-00046,Complete the Q2 board performance dashboard,Q2 actual export,Construction,2026-05,Approved case,Adjusted EBITDA margin,0.099,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00049,Complete the Q2 board performance dashboard,Q2 actual export,Construction,2026-06,Approved case,Posted YTD revenue allocation,0.10684800000000001,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2026-01-01 through 2026-06-30; Revenue total"
RPT-00050,Complete the Q2 board performance dashboard,Q2 actual export,Construction,2026-06,Approved case,Adjusted EBITDA margin,0.10300000000000001,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00053,Complete the Q2 board performance dashboard,Q2 actual export,Service,2026-04,Approved case,Posted YTD revenue allocation,0.04600400000000001,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2026-01-01 through 2026-06-30; Revenue total"
RPT-00054,Complete the Q2 board performance dashboard,Q2 actual export,Service,2026-04,Approved case,Adjusted EBITDA margin,0.168,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00057,Complete the Q2 board performance dashboard,Q2 actual export,Service,2026-05,Approved case,Posted YTD revenue allocation,0.048972000000000016,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2026-01-01 through 2026-06-30; Revenue total"
RPT-00058,Complete the Q2 board performance dashboard,Q2 actual export,Service,2026-05,Approved case,Adjusted EBITDA margin,0.17200000000000001,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00061,Complete the Q2 board performance dashboard,Q2 actual export,Service,2026-06,Approved case,Posted YTD revenue allocation,0.053424000000000006,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2026-01-01 through 2026-06-30; Revenue total"
RPT-00062,Complete the Q2 board performance dashboard,Q2 actual export,Service,2026-06,Approved case,Adjusted EBITDA margin,0.17600000000000002,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00065,Complete the Q2 board performance dashboard,Q2 actual export,Controls,2026-04,Approved case,Posted YTD revenue allocation,0.026288,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2026-01-01 through 2026-06-30; Revenue total"
RPT-00066,Complete the Q2 board performance dashboard,Q2 actual export,Controls,2026-04,Approved case,Adjusted EBITDA margin,0.142,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00069,Complete the Q2 board performance dashboard,Q2 actual export,Controls,2026-05,Approved case,Posted YTD revenue allocation,0.027984000000000002,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2026-01-01 through 2026-06-30; Revenue total"
RPT-00070,Complete the Q2 board performance dashboard,Q2 actual export,Controls,2026-05,Approved case,Adjusted EBITDA margin,0.146,,decimal ratio,Finance operating schedule,2026-06-30,
RPT-00073,Complete the Q2 board performance dashboard,Q2 actual export,Controls,2026-06,Approved case,Posted YTD revenue allocation,0.030528,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2026-01-01 through 2026-06-30; Revenue total"
